SerialNumber;ECID;OS Version;SaveDate;filename;path;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.3;Tue Feb 26 09:39:26 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.3-16D39_75a272528944c805d7589c103b265d4d732d6695.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.3/4918794123791398_iPhone8,1_n71map_12.1.3-16D39_75a272528944c805d7589c103b265d4d732d6695.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.3;Tue Feb 26 09:39:54 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_50501a9b75098c3d708246cdb1ab60c7a2572db1.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.3/5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_50501a9b75098c3d708246cdb1ab60c7a2572db1.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.3;Tue Feb 26 09:39:56 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_add0ad5ec2ac1c715525bc0550fc8da2e131f363.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.3/5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_add0ad5ec2ac1c715525bc0550fc8da2e131f363.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.3;Tue Feb 26 09:39:58 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.3-16D39_88e760dc4369aeb0eb391e85d4bc881db4222ea8.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.3/6286902831272_iPhone8,1_n71ap_12.1.3-16D39_88e760dc4369aeb0eb391e85d4bc881db4222ea8.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.3;Tue Feb 26 09:40:00 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.3-16D39_f54e82ac0c2d1c81d5fa325285149e3caf6d9e48.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.3/3915126213356_iPhone8,1_n71ap_12.1.3-16D39_f54e82ac0c2d1c81d5fa325285149e3caf6d9e48.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.3;Tue Feb 26 09:40:02 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.3-16D39_e3ef093c89e13c0249d4b2e3af07a89a335b87bc.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.3/4903967378216_iPhone8,1_n71ap_12.1.3-16D39_e3ef093c89e13c0249d4b2e3af07a89a335b87bc.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.3;Tue Feb 26 09:40:04 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.3-16D39_589333868992cce6395fb472cd08bd7bde788604.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.3/8537450375840294_iPhone8,1_n71map_12.1.3-16D39_589333868992cce6395fb472cd08bd7bde788604.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.3;Tue Feb 26 09:40:05 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.3-16D39_81ca23809f20556bf523ff1e7a80f35520b3138e.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.3/4615080403266598_iPhone8,1_n71map_12.1.3-16D39_81ca23809f20556bf523ff1e7a80f35520b3138e.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.3;Tue Feb 26 09:40:07 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.3-16D39_50626766b7508d2ae129b5f3e9b57528a77d763c.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.3/7896306232632358_iPhone7,2_n61ap_12.1.3-16D39_50626766b7508d2ae129b5f3e9b57528a77d763c.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.4;Tue Feb 26 09:40:09 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.4-16D57_e72159c12aaceeb68d3dc7785001a6ed2231219e.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.4/4918794123791398_iPhone8,1_n71map_12.1.4-16D57_e72159c12aaceeb68d3dc7785001a6ed2231219e.shsh2;;;;;
